id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"0e841e3c9bd9","2026-08-02","Israeli drones conducted strikes in southern Lebanon, damaging a vehicle and targeting areas in the region, including Ali al-Taher Hill and the town of Mansouri. This military action coincided with ongoing reconnaissance flights over southern Lebanon and Beirut's southern suburbs, amid rising tensions as Lebanon and Israel prepare for the seventh round of indirect negotiations in Rome.","Israeli drones carried out strikes in southern Lebanon on Monday, damaging a vehicle and targeting areas in the south, while reconnaissance aircraft continued flying over southern Lebanon and Beirut's southern suburbs, underscoring persistent tensions ahead of a new round of indirect negotiations.","Israeli military ASSAULT Lebanese military","CONFLICT","ASSAULT","-0.9","Israeli military","Israeli military","Israel (83)","Lebanese military","Lebanese army","Lebanon (95)","","","","southern Lebanon; Ali al-Taher Hill; Mansouri; southern suburbs of Beirut","","Lebanon (95); Lebanon (95); Lebanon (95); Lebanon (95)","1",""
"1133e507b972","2026-07-30","Israeli Army Chief General Eyal Zamir stated that Israeli forces will not withdraw from the occupied areas of southern Lebanon until Israel's long-term security is fully ensured. During his visit to Israeli-controlled positions in southern Lebanon, he indicated that military operations could be expanded if necessary to dismantle military infrastructure and installations.","Israeli Army Chief General Eyal Zamir has said that Israeli forces will not withdraw from the occupied areas of southern Lebanon until Israel’s long-term security is fully ensured, warning that military operations could be expanded if necessary.","Israeli Army Chief General Eyal Zamir THREATEN Lebanese armed forces","CONFLICT","THREATEN","-0.6","Israeli Army Chief General Eyal Zamir","Israeli Army Chief General Eyal Zamir","Israel (83)","Lebanese armed forces","Lebanese army","Lebanon (95)","","","","southern Lebanon","","Lebanon (95)","1",""
"3c982a0e3581","2026-07-30","The Israel Defense Forces (IDF) conducted an operation to destroy a network of Hezbollah tunnels beneath Beaufort Ridge in southern Lebanon. This operation involved the demolition of underground infrastructure that Israel identified as crucial to Hezbollah's invasion strategy for Galilee communities, utilizing approximately 700 tons of explosives. The action was taken in response to what Israel termed a violation of the ceasefire agreement by Hezbollah.","The IDF destroyed terror tunnels in the Beaufort area of southern Lebanon, dismantling underground infrastructure that Israel said was a central part of Hezbollah's invasion plan for Galilee communities, according to a joint announcement from Prime Minister Benjamin Netanyahu and Defense Minister Yisrael Katz.","Israel Defense Forces ASSAULT Hezbollah","CONFLICT","ASSAULT","-0.9","Israel Defense Forces","Israeli military","Israel (83)","Hezbollah","Hezbollah","Lebanon (95)","","","","Beaufort Ridge, southern Lebanon; Galilee communities","","Lebanon (95); Lebanon (95)","7",""
"48f3f2d04da4","2026-07-29","The Israeli military accused Hezbollah of violating a ceasefire agreement by attempting to target an Israeli military engineering vehicle with an explosive drone in southern Lebanon. The Israeli forces reported that they prevented the attack, which they described as a breach of the ceasefire arrangement.","Israel has accused Hezbollah of violating a ceasefire agreement after claiming the group attempted to target an Israeli military engineering vehicle with an explosive drone.","Israeli military ACCUSE Hezbollah","CONFLICT","ACCUSE","-0.2","Israeli military","Israeli military","Israel (83)","Hezbollah","Hezbollah","Lebanon (95)","","","","southern Lebanon","","Lebanon (95)","1",""
"719539511e9f","2026-07-25","A powerful explosion occurred in Lebanon’s Nabatieh region, reportedly following an Israeli airstrike targeting the town of Kfar Tebnit. The explosion was heard across several nearby areas, indicating the intensity of the ongoing conflict, which also included another Israeli airstrike on the southern town of Markaba.","A powerful explosion has rocked Lebanon’s Nabatieh region, with the blast reportedly heard across several nearby areas, according to Lebanon’s National News Agency (NNA) while the agency said the explosion followed a major Israeli airstrike targeting the town of Kfar Tebnit in southern Lebanon.","Israel ASSAULT Lebanon","CONFLICT","ASSAULT","-0.9","Israel","Israel","Israel (83)","Lebanon","Lebanon","Lebanon (95)","","","","Nabatieh region; Kfar Tebnit; Markaka","","Lebanon (95); Lebanon (95); Lebanon (95)","1",""
"03cd649c2b2b","2026-07-22","The Israel Defense Forces (IDF) conducted operations in Southern Lebanon, seizing dozens of weapons including Kalashnikov rifles, rocket-propelled grenades, and explosive devices as part of their ongoing efforts against Hezbollah. This operation is part of a broader initiative following the announcement of a 'Safe Zone' pilot program that involves the redeployment of Israeli troops from designated areas.","By JNS Israel Defense Forces troops have seized dozens of weapons in Southern Lebanon in recent days as part of ongoing operations against Hezbollah in the security zone, the military said on Wednesday.","Israel Defense Forces ASSAULT Hezbollah","CONFLICT","ASSAULT","-0.9","Israel Defense Forces","Israeli military","Israel (83)","Hezbollah","Hezbollah","Lebanon (95)","","","","Southern Lebanon","","Lebanon (95)","1",""
"273bc32c11e7","2026-07-20","Israel and Lebanon, with support from the United States, initiated a US-backed security pilot program aimed at accelerating the disarmament of Hezbollah. This program involves coordination among Israeli, Lebanese, and US officials, and is being implemented in several areas of southern Lebanon, as announced by the Israel Defense Forces (IDF).","On Monday, the Israel Defense Forces (IDF) announced the launch of the initiative in several areas of southern Lebanon, in coordination with the US Central Command (CENTCOM) and the Lebanese Armed Forces.","Israel, Lebanon, and the United States COOPERATE with Hezbollah in a US-backed security pilot program to accelerate disarmament efforts.","COOPERATION","COOPERATE","0.8","Israel; Lebanon; United States","Israel; Lebanon; United States","Israel (83); Lebanon (95); USA (185)","Hezbollah","Hezbollah","Lebanon (95)","","","","southern Lebanon","","Lebanon (95)","1",""
"9780b1773fd6","2026-07-20","The United States and Israel launched a landmark initiative aimed at disarming Hezbollah in Lebanon. This program involves the gradual evacuation of small amounts of Lebanese territory by the Israeli military, with control being transferred to the Lebanese Armed Forces (LAF). The initiative is driven by concerns regarding Hezbollah's power relative to the LAF and aims to enhance stability in the Middle East.","A landmark US-Israel initiative aims to disarm a designated terrorist group, Hezbollah, in Lebanon.","United States and Israel COOPERATE Hezbollah and the Lebanese Armed Forces","COOPERATION","COOPERATE","0.8","United States; Israel","United States; Israel","USA (185); Israel (83)","Hezbollah; Lebanese Armed Forces","Hezbollah; Lebanese Armed Forces","Lebanon (95); Lebanon (95)","","","","Lebanon","","Lebanon (95)","1",""
"a7dd91b0eb22","2026-07-19","The United States continued its military campaign against Iranian military targets, while Israel engaged in operations against Hezbollah in southern Lebanon. This coordinated effort has resulted in significant degradation of Iran's military capabilities and setbacks for Hezbollah, contributing to a strategic shift in the region.","The United States has continued its campaign against Iranian military targets, Israel remains engaged on multiple fronts, and Hezbollah's infrastructure in southern Lebanon is still being dismantled.","United States and Israel ASSAULT Iranian military targets and Hezbollah","CONFLICT","ASSAULT","-0.9","United States; Israel","United States; Israel","USA (185); Israel (83)","Iranian military targets; Hezbollah","Iranian military targets; Hezbollah","Iran (80); Lebanon (95)","","","","Southern Lebanon","","Lebanon (95)","1",""
"a3c2b84a236f","2026-07-19","Israel, the United States, and Lebanon initiated a pilot program to establish safe zones in southern Lebanon. This initiative aims to disarm Hezbollah and empower Lebanese troops as part of a broader framework agreement, facilitating Israel's withdrawal and reasserting Lebanese authority in the region.","In a bid to stabilize southern Lebanon, the Israeli military announced a new collaborative pilot program with U.S. and Lebanese forces.","Israel, the United States, and Lebanon AGREE Hezbollah and Lebanese troops to establish safe zones in southern Lebanon as part of a broader framework agreement.","COOPERATION","AGREE","0.5","Israel; United States; Lebanon","Israel; United States; Lebanon","Israel (83); USA (185); Lebanon (95)","Hezbollah; Lebanese troops","Hezbollah; Lebanese Armed Forces","Lebanon (95); Lebanon (95)","","","","southern Lebanon","","Lebanon (95)","1",""
"89b27049ebc2","2026-07-18","Israel Defense Forces (IDF) began redeploying troops from the Zawtar al-Gharbiyeh area in Lebanon as part of a conditions-based agreement with the Lebanese government, which includes Hezbollah's disarmament and the restoration of Lebanese state sovereignty. This action follows discussions held between Israel and Lebanon in Rome approximately ten days prior.","They added that the move was a direct result of talks held between Israel and Lebanon in Rome about 10 days earlier, and that the US would continue working with both sides until the framework was fully implemented.","Israel Defense Forces RETREAT Lebanese government","COOPERATION","RETREAT","0.8","Israel Defense Forces","Israeli military","Israel (83)","Lebanese government","Lebanese government","Lebanon (95)","Hezbollah","Hezbollah","Lebanon (95)","Zawtar al-Gharbiyeh; Rome","","Lebanon (95); Italy (84)","1",""
