id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"1f5466fd39d1","2026-07-29","The Israel Defense Forces (IDF) confirmed that a Hezbollah explosive drone struck an Israeli armored D9 bulldozer in the Ali Taher Ridge area of southern Lebanon. This incident is considered a blatant violation of the ongoing ceasefire framework agreement, marking the first explosive drone strike by Hezbollah against Israeli forces since the US-brokered truce agreement took effect in late June 2026.","The Israel Defense Forces (IDF) confirmed that a Hezbollah explosive drone struck an Israeli armored D9 bulldozer overnight in the Ali Taher Ridge area of southern Lebanon.","Hezbollah ASSAULT Israel Defense Forces","CONFLICT","ASSAULT","-0.9","Hezbollah","Hezbollah","Lebanon (95)","Israel Defense Forces","Israeli military","Israel (83)","","","","Ali Taher Ridge, southern Lebanon","","Lebanon (95)","3",""
"b8e8ef8828b1","2026-07-29","The Israel Defense Forces (IDF) reported that Hezbollah launched an explosive drone targeting an IDF engineering vehicle in the Ali Taher Ridge area of southern Lebanon. The IDF characterized this action as a blatant violation of the ceasefire that had been in effect since June 19, and stated that its forces would continue operations in the area to prevent further attacks.","On July 29, the Israel Defense Forces (IDF) said Hezbollah launched an 'explosive drone' overnight toward an IDF engineering vehicle in the Ali Taher Ridge area of southern Lebanon.","Hezbollah ASSAULT Israel Defense Forces (IDF)","CONFLICT","ASSAULT","-0.9","Hezbollah","Hezbollah","Lebanon (95)","Israel Defense Forces (IDF)","Israel Defense Forces (IDF)","Israel (83)","","","","Ali Tahir Ridge, southern Lebanon","","Lebanon (95)","1",""
"5b987c60f8c8","2026-07-20","Lebanese troops entered the town of Zawtar al-Gharbiyeh in southern Lebanon as part of a pilot zone program agreed upon with Israel and the United States. This deployment was intended to allow Lebanese military forces to take control of municipalities previously under Israeli occupation, but they came under fire from Israeli forces, who confirmed they fired warning shots after the Lebanese soldiers crossed the agreed line.","As was reported yesterday, Lebanese troops entered the Lebanese town of Zawtar al-Gharbiyeh as part of the agreed upon 'pilot zone' program with Israel and the United States.","Lebanese troops ASSAULT Israeli forces","CONFLICT","ASSAULT","-0.9","Lebanese troops","Lebanese Armed Forces","Lebanon (95)","Israeli forces","Israeli military","Israel (83)","Israel; United States","Israel; United States","Israel (83); USA (185)","Zawtar al-Gharbiyeh","","Lebanon (95)","2",""
"543e14c795dd","2026-07-15","Hezbollah is reportedly preparing for a potential military escalation against Israeli Defense Forces (IDF) in southern Lebanon, with plans to reinforce positions north of the Litani River and to conduct intensive strikes on northern Israeli communities using rockets, drones, and precision munitions. This preparation is contingent upon receiving approval from Tehran, influenced by the developments in the US-Iran confrontation.","Hezbollah is actively preparing for a possible military escalation in southern Lebanon, according to Lebanese political sources cited by the Emirati outlet Erem News, with the group reportedly reinforcing positions north of the Litani River and drawing up plans for intensive strikes on northern Israeli communities using rockets, drones, and precision munitions.","Hezbollah MOBILIZE Israeli Defense Forces (IDF)","CONFLICT","MOBILIZE","-0.6","Hezbollah","Hezbollah","Lebanon (95)","Israeli Defense Forces (IDF)","Israeli Defense Forces (IDF)","Israel (83)","Tehran; United States","Tehran; United States","Iran (80); USA (185)","southern Lebanon; north of the Litani River; northern Israeli communities","","Lebanon (95); Lebanon (95); Israel (83)","1",""
"a27b5b2e29fd","2026-07-14","Lebanon and Israel resumed US-brokered negotiations in Rome to discuss a framework agreement aimed at ending the conflict between Israel and Hezbollah. The Lebanese delegation was instructed to demand the immediate withdrawal of Israeli forces from two pilot zones in southern Lebanon as a prerequisite for further discussions.","Lebanon and Israel are holding new negotiations under US auspices in Rome on Tuesday, against the backdrop of a regional escalation between Washington and Tehran.","Lebanon REQUEST Israel","CONFLICT","REQUEST","-0.2","Lebanon","Lebanon","Lebanon (95)","Israel","Israel","Israel (83)","United States; Hezbollah","United States; Hezbollah","USA (185); Lebanon (95)","Rome; southern Lebanon","","Italy (84); Lebanon (95)","1",""
"69d93f2c9941","2026-07-02","Lebanese President Joseph Aoun defended a recently signed US-backed framework agreement with Israel during a statement in Beirut, asserting that the negotiations are not a betrayal and emphasizing that Lebanon will not surrender any territory. This statement coincided with a visit from Syrian Foreign Minister Asaad al-Shaibani, who assured Aoun that Syria would not intervene militarily in Lebanon.","Aoun said Beirut decided to engage in talks 'to guarantee Israel’s withdrawal from its territory'.","Joseph Aoun ACCUSE United States and Israel","CONFLICT","ACCUSE","-0.2","Joseph Aoun","Joseph Aoun","Lebanon (95)","United States; Israel","United States; Israel","USA (185); Israel (83)","Lebanon; Syria","Lebanon; Syria","Lebanon (95); Syria (169)","Beirut","","Lebanon (95)","1",""
"7762ed21c867","2026-06-30","Lebanon's Ministry of Public Health reported that the death toll from Israeli attacks since March 2 has risen to 4,297, with 19 additional deaths recorded in the last 24 hours. This update coincides with Lebanese officials' efforts to gain support for a U.S.-brokered framework agreement with Israel aimed at reinforcing a ceasefire and ensuring a full Israeli withdrawal from Lebanese territory.","The casualty update comes as Lebanese officials seek to bolster support for a U.S.-brokered framework agreement with Israel aimed at reinforcing a fragile ceasefire, securing a full Israeli withdrawal from Lebanese territory, and laying the groundwork for long-term stability.","Lebanon's Ministry of Public Health and Lebanese officials ACCUSE Israel","CONFLICT","ACCUSE","-0.3","Lebanon's Ministry of Public Health; Lebanese officials","Lebanese health ministry; Lebanese authorities","Lebanon (95); Lebanon (95)","Israel","Israel","Israel (83)","United States","United States","USA (185)","Lebanon","","Lebanon (95)","1",""
"3cdea7bd16a1","2026-06-29","Nabih Berri, the Speaker of the Lebanese Parliament and an ally of Hezbollah, rejected a U.S.-brokered framework agreement with Israel, stating that it does not protect Lebanon's rights and will not be approved in its current form. The agreement links an Israeli withdrawal from southern Lebanon to the disarmament of Hezbollah, which Berri described as an imposed agreement that undermines Lebanese sovereignty.","Nabih Berri, Lebanon’s parliament speaker and a key ally of Hezbollah, has rejected a U.S.-brokered framework agreement with Israel, saying it fails to protect Lebanon’s rights and will not be approved in its current form.","Nabih Berri ACCUSE United States and Israel","CONFLICT","ACCUSE","-0.3","Nabih Berri","Nabih Berri","Lebanon (95)","United States; Israel","United States; Israel","USA (185); Israel (83)","Lebanon; Hezbollah","Lebanon; Hezbollah","Lebanon (95); Lebanon (95)","Lebanon","","Lebanon (95)","1",""
"03304e9d85b3","2026-06-29","Hezbollah, an armed group based in Lebanon, publicly rejected any possibility of negotiations or surrender with Israel, asserting that their 'resistance' will continue until their objectives are achieved. This declaration has heightened security concerns in the Middle East amidst ongoing international efforts to de-escalate tensions.","Hezbollah has categorically dismissed any possibility of negotiations or surrender with Israel. Senior leaders of the organization have made it clear that the 'resistance' will continue until their objectives are achieved.","Hezbollah ACCUSE Israel","CONFLICT","ACCUSE","-0.3","Hezbollah","Hezbollah","Lebanon (95)","Israel","Israel","Israel (83)","","","","Lebanon","","Lebanon (95)","1",""
"9b7869e1db8d","2026-06-27","Hezbollah leader Naim Qassem publicly rejected a U.S.-brokered security agreement between Lebanon and Israel, which was signed on June 26, 2026. He described the agreement as a surrender to Israel and criticized its provisions linking Israel's withdrawal to Hezbollah's disarmament, claiming it undermined Lebanon's sovereignty.","Hezbollah leader Naim Qassem rejected a U.S.-brokered security agreement between Lebanon and Israel on Saturday a day after it was signed, describing it as a surrender to Israel.","Naim Qassem ACCUSE United States and Israel","CONFLICT","ACCUSE","-0.3","Naim Qassem","Naim Qassem","Lebanon (95)","United States; Israel","United States; Israel","USA (185); Israel (83)","Lebanon","Lebanon","Lebanon (95)","Lebanon; Israel","","Lebanon (95); Israel (83)","1",""
"fae17339ba4a","2026-06-26","Secretary of State Marco Rubio, along with the ambassadors of Israel and Lebanon, announced a framework agreement aimed at establishing peace following months of conflict between Israel and Hezbollah. The agreement was signed by Yechiel Leiter, the Israeli ambassador to the United States, and Nada Hamadeh, the Lebanese ambassador to the United States, and is intended to restore Lebanese sovereignty and territorial integrity while securing a permanent cessation of hostilities.","Secretary of State Marco Rubio along with Israel and Lebanon’s ambassadors announced a framework agreement Friday that was described as a first step toward peace following months of conflict between Israel and the Lebanese militant group Hezbollah.","Marco Rubio, Israel, and Lebanon AGREE with Yechiel Leibler and Nada Hamadeh","COOPERATION","AGREE","0.5","Marco Rubio; Israel; Lebanon","Marco Rubio; Israel; Lebanon","USA (185); Israel (83); Lebanon (95)","Yechiel Leibler; Nada Hamadeh","Yechiel Leibler; Nada Hamadeh","Israel (83); Lebanon (95)","","","","Immaterial","","Immaterial","3",""
