id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"be2f15dda655","2026-08-04","Iran is implementing a strategy of gradual escalation in its conflict with the United States, aiming to increase the costs for Washington and its allies without engaging in direct military confrontation. This strategy involves threatening key trade routes, shipping lanes, and energy infrastructure in the Middle East, particularly around the Strait of Hormuz, to pressure the US into accepting a larger Iranian role in the region.","According to officials, Iran wants to convince the US and its allies that managing the crisis is more costly than accepting Tehran's demands over the Strait of Hormuz.","Iran THREATEN United States, Washington, and US allies","CONFLICT","THREATEN","-0.6","Iran","Iran","Iran (80)","United States; Washington; US allies","United States; Washington; U.S. allies","USA (185); USA (185)","","","","Strait of Hormuz; Middle East","","Unknown; Unknown","5",""
"99a23d601438","2026-08-04","The Iranian Ministry of Foreign Affairs confirmed that Iran has no intention to enter a new round of negotiations with the United States at present. This decision is based on strategic determinants set by the Supreme National Security Council, which outlines conditions for any potential negotiation process, including issues related to navigation security in the Strait of Hormuz and the release of frozen Iranian assets.","This comes after statements by the spokesperson for the Iranian Ministry of Foreign Affairs, who confirmed there is no intention to enter a new round of negotiations with the United States at present.","Iranian Ministry of Foreign Affairs REJECT United States","CONFLICT","REJECT","-0.3","Iranian Ministry of Foreign Affairs","Iranian Foreign Ministry","Iran (80)","United States","United States","USA (185)","Supreme National Security Council","Supreme National Security Council","Iran (80)","Immaterial","","Immaterial","1",""
"0d61709e56e3","2026-08-04","Mohsen Rezaei, an adviser to Iran's Supreme Leader Khamenei, issued a warning regarding the Strait of Hormuz, stating that Iran will oppose any attempts to create a 'second corridor' and will not accept continued restrictions on maritime movement. This statement was made in response to rising tensions with the United States and concerns over security in the region.","Rezaei, a senior Iranian official and former commander of the Islamic Revolutionary Guard Corps (IRGC), made the remarks in a post on social media platform X early Tuesday, August 4.","Mohsen Reza'i THREATEN United States","CONFLICT","THREATEN","-0.6","Mohsen Rezaei","Mohsen Rezaei","Iran (80)","United States","United States","USA (185)","Iran's Supreme Leader Khamenei","Iran's Supreme Leader Khamenei","Iran (80)","Strait of Hormuz","","Unknown","1",""
"9fe0fd7af3e5","2026-08-03","Mohsen Rezaee, a senior military adviser to Iran’s Supreme Leader, publicly rejected U.S. President Donald Trump’s claims regarding discussions to fully reopen the Strait of Hormuz. Rezaee stated that Iran would not permit any shipping route through the Strait except those approved by the Islamic Republic, citing violations of the Islamabad Memorandum of Understanding by the U.S.","Mohsen Rezaee, a senior military adviser to Iran’s Supreme Leader, said Iran would not allow any shipping route through the Strait of Hormuz except the one approved by the Islamic Republic.","Mohsen Rezaee ACCUSE Donald Trump","CONFLICT","ACCUSE","-0.3","Mohsen Rezaee","Mohsen Rezaei","Iran (80)","Donald Trump","Donald Trump","USA (185)","Islamic Republic of Iran; United States","Islamic Republic of Iran; United States","Iran (80); USA (185)","Immaterial","","Immaterial","1",""
"839cc75ba75c","2026-08-02","Iran's Islamic Revolutionary Guard Corps (IRGC) denied that it had agreed to reopen the Strait of Hormuz, contradicting claims made by US President Donald Trump regarding a potential deal. The IRGC stated that the strategic waterway would remain closed due to ongoing US 'hostile actions', and that commercial vessels would only be allowed to transit through a designated route with authorization from the IRGC Navy.","Iran denied on Sunday, August 2, that it had agreed to reopen the Strait of Hormuz, contradicting US President Donald Trump’s claim that the outlines of a deal had been reached.","Iran's Islamic Revolutionary Guard Corps ACCUSE United States","CONFLICT","ACCUSE","-0.3","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","United States","United States","USA (185)","Donald Trump; IRGC Navy","Donald Trump; IRGC Navy","USA (185); Iran (80)","Strait of Hormuz","","Iran (80)","5",""
"dcc233be0752","2026-08-02","The Islamic Revolutionary Guard Corps (IRGC) of Iran launched an overnight attack using at least three drones on a U.S. military base located in Kuwait. This action is part of Iran's ongoing denial of holding talks with the United States regarding the Strait of Hormuz and reflects their stance against a U.S.-backed plan for an alternative shipping corridor.","Tehran launched an overnight attack on a U.S. military base in Kuwait. The Islamic Revolutionary Guard Corps (IRGC) reportedly launched at least three drones at the base early Tuesday.","Islamic Revolutionary Guard Corps (IRGC) ASSAULT United States","CONFLICT","ASSAULT","-0.9","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","United States","United States","USA (185)","","","","U.S. military base in Kuwait","","Kuwait (91)","4",""
"2874dfedc6be","2026-08-02","Donald Trump, the former President of the United States, stated that Saudi Arabia, the UAE, Qatar, and Iran urged him to cancel a significant military action described as the 'biggest attack since World War II'. This occurred in the context of renewed U.S.-Iran nuclear talks and negotiations regarding the Strait of Hormuz.","Donald Trump revealed that Saudi Arabia, the UAE, Qatar and even Iran urged him to cancel what he described as the 'biggest attack since World War II' ahead of renewed U.S.-Iran nuclear talks.","Saudi Arabia, the UAE, Qatar, and Iran REQUESTED Donald Trump to cancel a significant military action.","CONFLICT","REQUEST","-0.2","Saudi Arabia; United Arab Emirates; Qatar; Iran","Saudi Arabia; United Arab Emirates; Qatar; Iran","Saudi Arabia (151); UAE (182); Qatar (139); Iran (80)","Donald Trump","Donald Trump","USA (185)","United States; Iran","United States; Iran","USA (185); Iran (80)","Immaterial","","Immaterial","1",""
"d4dc1db4ea14","2026-08-02","Iran's Foreign Ministry spokesperson, Esmail Baghaei, announced that there were no ongoing negotiations or scheduled meetings with the United States, contradicting U.S. President Donald Trump's claims of impending talks. This statement was made in response to Trump's assertion that negotiations would begin the following day.","Iran said on Monday that no talks were underway with the United States and there were no plans for any meetings, contradicting U.S. President Donald Trump, who had cited talks he said would take place that afternoon as justification for calling off attacks.","Iran's Foreign Ministry spokesperson Esmail Baghaei ACCUSE United States","CONFLICT","ACCUSE","-0.2","Esmail Baghaei","Esmaiel Baghaei","Iran (80)","United States","United States","USA (185)","Donald Trump","Donald Trump","USA (185)","Immaterial","","Immaterial","3",""
"89ffd752b158","2026-08-02","Iranian President Masoud Pezeshkian stated that Iran must compel the United States to adhere to the peace memorandum of understanding (MoU) signed between the two countries. This statement was made in a social media post, emphasizing the consensus among Iran's Supreme National Security Council regarding the MoU's importance for Iran's future foreign relations.","""We must strive to compel the enemy to adhere to what it has signed. The security of the country, region and our allies will improve with this MoU,"" he said.","Masoud Pezeshkian THREATEN United States","CONFLICT","THREATEN","-0.6","Masoud Pezeshkian","Masoud Pezeshkian","Iran (80)","United States","United States","USA (185)","Iranian President Masoud Pezeshkian; Iran's Supreme National Security Council","Iranian President Masoud Pezeshkian; Iran's Supreme National Security Council","Iran (80); Iran (80)","Immaterial","","Immaterial","4",""
"9a6edc2f89c8","2026-08-02","The Islamic Revolutionary Guard Corps (IRGC) in Iran issued a statement declaring that the US-mediated ceasefire plan for Hamas to disarm is 'doomed to fail' and vowed a 'harsh and crushing' response to the assassination of Hamas political bureau chief Ismail Haniyeh, which occurred on July 31, 2024, in Tehran. The IRGC condemned the assassination as a 'colossal crime' and a violation of international law.","The plot to disarm Hamas will not go anywhere and has already failed.","Islamic Revolutionary Guard Corps (IRGC) THREATEN United States","CONFLICT","THREATEN","-0.6","Islamic Revolutionary Guard Corps (IRGC)","Islamic Revolutionary Guard Corps (IRGC)","Iran (80)","United States","United States","USA (185)","Hamas; Ismail Haniyeh","Hamas; Ismail Haniyeh","Palestine (195); Palestine (195)","Tehran","","Iran (80)","1",""
