id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"67b10a48f3c2","2026-08-05","President Donald Trump announced that new negotiations with Iran are set to begin in the next day or two, describing these talks as Iran's 'last chance' to reach a deal and avoid potential escalation of U.S. military actions. The discussions aim to address U.S. concerns regarding Iran's nuclear program and the reopening of the Strait of Hormuz.","Trump, speaking at the Oval Office, said he expects negotiations that will reopen the Strait of Hormuz and create a pathway for Iran to address United States’ concerns about it’s nuclear program will begin in the next day or two.","President Donald Trump CONSULT Iran","COOPERATION","CONSULT","0.2","President Donald Trump","Donald Trump","USA (185)","Iran","Iran","Iran (80)","","","","Immaterial","","Immaterial","1",""
"490f14e5c3d4","2026-08-04","The United States military has utilized a significant portion of its stockpile of Army Tactical Missile Systems (ATACMS) and Precision Strike Missiles (PrSM) during its ongoing five-month conflict with Iran, raising concerns about military preparedness for future engagements.","The report said the U.S. Army has used much of its inventory of Army Tactical Missile Systems (ATACMS) and Precision Strike Missiles (PrSM), two of its key surface-to-surface weapons.","United States military ASSAULT Iran","CONFLICT","ASSAULT","-0.9","United States military","United States military","USA (185)","Iran","Iran","Iran (80)","","","","Immaterial","","Immaterial","1",""
"16820e50165d","2026-08-03","U.S. President Donald Trump announced that negotiations with Iran are scheduled to begin in the afternoon of August 3, 2026, after he agreed to delay a planned military strike. This decision followed appeals from regional leaders, including Saudi Crown Prince Mohammed bin Salman, who warned that military action could lead to a humanitarian crisis in the Middle East. The talks will primarily focus on Iran's nuclear program and efforts to reduce regional tensions.","U.S. President Donald Trump said negotiations with Iran are scheduled to begin on Monday afternoon after he agreed to delay a planned military strike, saying regional leaders urged Washington to give diplomacy another chance.","Donald Trump CONSULT Iran","COOPERATION","CONSULT","0.2","Donald Trump","Donald Trump","USA (185)","Iran","Iran","Iran (80)","Saudi Crown Prince Mohammed bin Salman","Saudi Crown Prince Mohammed bin Salman","Saudi Arabia (151)","Immaterial","","Immaterial","119",""
"7054071894ba","2026-08-03","US President Donald Trump announced that the United States would maintain its naval blockade of Iran until an agreement is reached or Iran agrees to 'total surrender'. This statement was made in Washington, emphasizing the US Navy's control over the Strait of Hormuz and the ongoing tensions regarding Iran's nuclear program.","US President Donald Trump said on Monday that the United States would maintain its naval blockade of Iran until Tehran reaches an agreement with Washington or agrees to what he described as 'total surrender.'","United States THREATEN Iran","CONFLICT","THREATEN","-0.6","United States","United States","USA (185)","Iran","Iran","Iran (80)","","","","Washington; Strait of Hormuz","","USA (185)","1",""
"ed5938c761d2","2026-08-03","The United States and Saudi Arabia conducted military operations against Iranian proxy forces, specifically targeting Iraqi militias responsible for attacks on Saudi oil facilities. This action is part of the broader conflict involving Iran, which has seen disruptions in vital shipping lanes, particularly in the Strait of Hormuz and the Bab el-Mandeb Strait, affecting Middle Eastern trade and the international economy.","Besides, the direct US and Saudi Arab operations against Iranian proxy—Iraqi militia for striking Saudi oil facilities and continuing disruptions in vital shipping lanes by the closure of the Strait of Hormuz and Iran-aligned Yemen Houthis strikes in the Bab el-Mandeb Strait disrupting Red Sea trade, have severely destabilized Middle Eastern trade, having severe repercussions for the international economy.","United States and Saudi Arabia ASSAULT Iranian proxy forces and Iran","CONFLICT","ASSAULT","-0.9","United States; Saudi Arabia","United States; Saudi Arabia","USA (185); Saudi Arabia (151)","Iranian proxy forces; Iran","Iranian proxy forces; Iran","Iran (80); Iran (80)","","","","Iranian proxy forces; Iran; Strait of Hormuz; Bab el-Mandah Strait","","Iran (80); Iran (80)","1",""
"e4a54057e124","2026-08-03","The United States, under the Trump administration, announced the resumption of talks with Iran regarding the Strait of Hormuz and Tehran’s nuclear program after President Trump called off planned military strikes. This decision was made to facilitate negotiations, although Iran stated it is not currently in talks with the U.S. but is discussing a temporary safe route through Oman.","Trump says the U.S. and Iran will resume talks and Todd Blanche announces an agreement with senators to rescind a $1.8 billion 'anti-weaponization' fund.","United States (Trump administration) CONSULT Iran","COOPERATION","CONSULT","0.2","United States (Trump administration)","Trump administration","USA (185)","Iran","Iran","Iran (80)","Oman","Oman","Oman (129)","Immaterial; Strait of Hormuz; Tehran; Oman","","Iran (80); Oman (129)","1",""
"eeb82b414798","2026-08-02","President Donald Trump issued a statement accusing Iran of being duplicitous regarding peace talks, following Iran's Foreign Ministry's denial of negotiations with the United States. Trump claimed that Iranian officials were not truthful about their discussions, asserting that they had requested meetings while publicly stating they were only engaging with Oman.","Trump accused its leadership of being 'duplicitous.' He also claimed that Iranian officials were not being truthful about peace talks.","President Donald Trump ACCUSE Iranian officials","CONFLICT","ACCUSE","-0.3","President Donald Trump","Donald Trump","USA (185)","Iranian officials","Iranian officials","Iran (80)","United States; Oman","United States; Oman","USA (185); Oman (129)","","","","1",""
"5b1434d50c63","2026-08-02","US Secretary of State Marco Rubio announced progress in negotiations involving the United States, Iran, and Oman aimed at ensuring safe passage for commercial vessels through the Strait of Hormuz. The discussions are focused on facilitating navigation in the region amidst ongoing tensions, with hopes for a final agreement soon.","Diplomatic efforts to ease tensions between the United States and Iran gathered momentum on Tuesday, with US Secretary of State Marco Rubio saying negotiations on ensuring safe passage through key regional waterways had made progress, although a final agreement had yet to be reached.","US Secretary of State Marco Rubio CONSULT Iran and Oman","COOPERATION","CONSULT","0.2","US Secretary of State Marco Rubio","Marco Rubio","USA (185)","Iran; Oman","Iran; Oman","Iran (80); Oman (129)","United States","United States","USA (185)","Immaterial","","Immaterial","1",""
"ef5e221542f2","2026-08-02","Saudi Arabia and the United States conducted airstrikes in Iraq in response to attacks by Iranian-backed militias on Saudi Arabia. This military action is part of ongoing efforts to address the threats posed by these militias, which have been active in Iraq and have targeted various entities including US forces.","The report emerged days after Saudi Arabia and the US conducted airstrikes in Iraq in response to attacks by Iran-backed militias on Saudi Arabia.","Saudi Arabia and the United States ASSAULT Iranian-backed militias","CONFLICT","ASSAULT","-0.9","Saudi Arabia; United States","Saudi Arabia; United States","Saudi Arabia (151); USA (185)","Iranian-backed militias","Iranian-backed militias","Iran (80)","US forces","US forces","USA (185)","Iraq","","Iraq (81)","1",""
"70614d0b0e42","2026-08-02","A top US official indicated that a deal with Iran to reopen the Strait of Hormuz could be finalized imminently, potentially 'today or tomorrow'. This statement was made by US Treasury Secretary Scott Bessent, reflecting ongoing diplomatic efforts amid heightened tensions following military actions between the US, Israel, and Iran.","A top US official said Tuesday that a deal with Iran to reopen the Strait of Hormuz could be struck 'today or tomorrow', sending oil prices tumbling on hopes of increased shipments through the vital waterway.","US Treasury Secretary Scott Bensant AGREE Iran","COOPERATION","AGREE","0.5","US Treasury Secretary Scott Bessant","US Treasury Secretary Scott Bessant","USA (185)","Iran","Iran","Iran (80)","Israel","Israel","Israel (83)","Immaterial","","Immaterial","1",""
